country,year,comlaw,france,pop,ppp94,ODA,FREEDOM,ethnic,efw,coldwar,gdpgrowt,col_uk,col_fran,uk_aid,franc_ai,us_aid,USexp
Chad,1993,0,1,5.5,700,22.3,2.5,144,,0,-15.70984,0,1,0.4,88.7,18,8.58
Chad,1994,0,1,5.5,700,26.8,2.5,144,,0,10.2,0,1,0.5,65.5,8,8.03
Chad,1995,0,1,5.5,700,23.5,2.5,144,5.1,0,1,0,1,0.2,72.1,12,11.55
Chad,1996,0,1,5.5,700,26.9,2.5,144,,0,2.4,0,1,0.2,73.5,2,3.74
Chad,1997,0,1,5.5,700,14.3,2.5,144,4.5,0,4.5,0,1,,,,3.52
Comoros,1990,0,1,0.458,1366,18.6,3,14,,0,5.091392,0,1,0,24.1,1,0
Comoros,1991,0,1,0.458,1366,26.3,4.5,14,,0,-5.395599,0,1,0,23.8,1,0
Comoros,1992,0,1,0.458,1366,18.2,5,14,,0,8.530924,0,1,0.1,17.3,1,0.66
Comoros,1993,0,1,0.458,1366,17.8,4,14,,0,3.005938,0,1,0,19.3,1,0.22
Comoros,1994,0,1,0.458,1366,19.9,4,14,,0,-5.276682,0,1,0,13.4,1,0.11
Comoros,1995,0,1,0.458,1366,18.5,4,14,,0,-3.869672,0,1,0,15.8,1,0.66
Comoros,1996,0,1,0.458,1366,17.4,4,14,,0,-0.1250801,0,1,0,19.2,0,0
Comoros,1997,0,1,0.458,1366,,3.5,14,,0,0.4826196,0,1,,,,0.01
"Congo, Dem. Rep",1990,0,0,34.5,429,10.5,2,70,,0,-6.568317,0,0,3.4,174.2,32,91.45
"Congo, Dem. Rep",1991,0,0,34.5,429,5.7,2.5,70,,0,-8.421053,0,0,2.7,72.2,42,67.87
"Congo, Dem. Rep",1992,0,0,34.5,429,3.3,2.5,70,,0,-10.5,0,0,2.4,24.1,34,36.08
"Congo, Dem. Rep",1993,0,0,34.5,429,2.1,1.5,70,,0,-13.46905,0,0,2.7,16.5,8,38.72
"Congo, Dem. Rep",1994,0,0,34.5,429,4.8,1.5,70,,0,-3.9,0,0,4.3,12.3,1,43.56
"Congo, Dem. Rep",1995,0,0,34.5,429,3.7,1.5,70,,0,0.7,0,0,2.2,14.7,0,84.59
"Congo, Dem. Rep",1996,0,0,34.5,429,2.8,1.5,70,,0,-0.9,0,0,1.9,14.9,0,80.63
"Congo, Dem. Rep",1997,0,0,34.5,429,3.2,1.5,70,,0,-5.7,0,0,,,,41.8
"Congo, Rep.",1990,0,1,2.2,2410,9.3,2,55,3.2,1,0.9114246,0,1,0.4,169.3,3,35.05
"Congo, Rep.",1991,0,1,2.2,2410,5.9,3,55,,1,2.399514,0,1,0.6,89,3,49.14
"Congo, Rep.",1992,0,1,2.2,2410,4.4,5,55,,1,2.595668,0,1,0.6,67.3,4,88.38
"Congo, Rep.",1993,0,1,2.2,2410,7.5,5,55,,1,-1.001594,0,1,0.3,95.9,2,30.16
"Congo, Rep.",1994,0,1,2.2,2410,23.9,4,55,,1,-5.505222,0,1,0,227.2,10,39.37
"Congo, Rep.",1995,0,1,2.2,2410,7.4,4,55,3.2,1,3.995904,0,1,0,87.4,7,44.87
"Congo, Rep.",1996,0,1,2.2,2410,22.9,4,55,,1,-4.3,0,1,1.5,211.4,10,68.64
"Congo, Rep.",1997,0,1,2.2,2410,14.7,2,55,3.1,1,-0.6,0,1,,,,82.83
Cote d'Ivoire,1990,0,1,11.7,1668,7.5,3,96,4.4,0,-1.095909,0,0,1.7,416.3,17,101.16
Cote d'Ivoire,1991,0,1,11.7,1668,6.9,3,96,,0,0.0409263,0,0,1.7,309.7,19,115.85
Cote d'Ivoire,1992,0,1,11.7,1668,7.7,3,96,,0,-0.2445667,0,0,0.8,446.1,20,97.76
Cote d'Ivoire,1993,0,1,11.7,1668,8.5,2.5,96,,0,-0.1847291,0,0,0.5,585,21,106.64
Cote d'Ivoire,1994,0,1,11.7,1668,23.1,2.5,96,,0,1.97409,0,0,0.1,649.7,23,128.44
Cote d'Ivoire,1995,0,1,11.7,1668,13.4,2.5,96,4.8,0,7.07804,0,0,-1,516,9,165.26
Cote d'Ivoire,1996,0,1,11.7,1668,9.9,2.5,96,,0,6.898305,0,0,10.1,300.3,14,166.39
Cote d'Ivoire,1997,0,1,11.7,1668,4.7,3,96,4.2,0,6.62257,0,0,,,,167.73
Djibouti,1990,0,1,0.411,1270,,2.5,67,4.9,0,0,1,0.1,55.8,6,,7
Djibouti,1991,0,1,0.411,1270,,2,67,,0,0,1,0.2,46.2,1,,7.89
Djibouti,1992,0,1,0.411,1270,23.4,2,67,,0,0,1,0.2,40.6,4,,11.66
Djibouti,1993,0,1,0.411,1270,27.8,2,67,,0,0,1,0.2,44.5,2,,14.52
Djibouti,1994,0,1,0.411,1270,,2.5,67,,0,0,1,0,54.7,2,,7.48
Djibouti,1995,0,1,0.411,1270,,2.5,67,5.2,0,0,1,0,42.4,1,,10.67
Djibouti,1996,0,1,0.411,1270,,2.5,67,,0,0,1,0,46.9,0,,8.91
Djibouti,1997,0,1,0.411,1270,,2.5,67,5.7,0,0,1,,,,,8.14
Equatorial Guinea,1990,0,0,0.407,1673,43,1,15,,0,3.26115,0,1,0.1,16.1,1,0
Equatorial Guinea,1991,0,0,0.407,1673,51.9,1,15,,0,-1.136766,0,1,0,8.8,2,13.31
Equatorial Guinea,1992,0,0,0.407,1673,41.9,1.5,15,,0,10.69545,0,1,0,9.9,0,11.99
Equatorial Guinea,1993,0,0,0.407,1673,36.3,1,15,,0,6.296214,0,1,0,8.8,0,3.63
Equatorial Guinea,1994,0,0,0.407,1673,27.4,1,15,,0,5.115623,0,1,0,6.1,0,2.09
Equatorial Guinea,1995,0,0,0.407,1673,22.4,1,15,,0,14.26259,0,1,0,8,0,5.94
Equatorial Guinea,1996,0,0,0.407,1673,12.8,1,15,,0,29.14185,0,1,0,8.8,0,18.48
Equatorial Guinea,1997,0,0,0.407,1673,,1,15,,0,71.18799,0,1,,,,51.81
Eritrea,1990,0,0,,960,,,100,,0,,0,0,0,0,0,
Eritrea,1991,0,0,,960,,,100,,0,,0,0,0,0,0,
Eritrea,1992,0,0,,960,,,100,,0,,0,0,0,0,0,
Eritrea,1993,0,0,,960,,2.5,100,,0,-2.5,0,0,4,0,4,
Eritrea,1994,0,0,,960,,2.5,100,,0,9.8,0,0,7.7,2.5,9,
Eritrea,1995,0,0,,960,,3,100,,0,2.905,0,0,3.7,2,5,
Eritrea,1996,0,0,,960,,3,100,,0,6.75,0,0,2.8,4.1,15,
Eritrea,1997,0,0,,960,,3,100,,0,7.878,0,0,,,,
Ethiopia,1990,0,0,49.5,427,15,1,100,,1,2.452821,0,0,35.2,15.4,50,57.81
Ethiopia,1991,0,0,49.5,427,20.6,2.5,100,,1,-4.69494,0,0,38.2,8.4,88,61.89
Ethiopia,1992,0,0,49.5,427,21.4,3,100,,1,-5.138374,0,0,33.8,10.9,65,37.82
Ethiopia,1993,0,0,49.5,427,17.8,2.5,100,,1,13.36285,0,0,16.6,12.4,125,73.26
Ethiopia,1994,0,0,49.5,427,22.3,2.5,100,,1,3.487427,0,0,43.2,17.6,122,127.06
Ethiopia,1995,0,0,49.5,427,16.6,3.5,100,,1,6.127451,0,0,42.4,10.6,70,147.85
Ethiopia,1996,0,0,49.5,427,14.3,3.5,100,,1,10.61543,0,0,19.7,10.8,56,58.98
Ethiopia,1997,0,0,49.5,427,10.1,3.5,100,,1,5.194072,0,0,,,,53.45
Gabon,1990,0,1,1.1,3641,2.5,4,54,,0,5.192237,0,1,0.1,113.4,2,53.79
Gabon,1991,0,1,1.1,3641,3,4.5,54,,0,6.112504,0,1,0.1,126.4,2,93.28
Gabon,1992,0,1,1.1,3641,1.4,4,54,,0,-3.254166,0,1,0.1,54.8,2,60.17
Gabon,1993,0,1,1.1,3641,2.6,3.5,54,,0,2.380306,0,1,0,87.2,1,53.02
Gabon,1994,0,1,1.1,3641,4.9,3.5,54,,0,3.444393,0,1,0,150.3,2,83.54
Gabon,1995,0,1,1.1,3641,3.3,3.5,54,,0,6.960364,0,1,0,107.3,2,59.73
Gabon,1996,0,1,1.1,3641,2.6,3.5,54,,0,5.16044,0,1,0,102.4,2,93.37
Gabon,1997,0,1,1.1,3641,0.9,3.5,54,,0,5.755436,0,1,,,,92.07
"Gambia, The",1975,1,0,0.849,939,7.2,6,55,,0,,,,,,,
"Gambia, The",1976,1,0,0.849,939,9.2,6,55,,0,,,,,,,
"Gambia, The",1977,1,0,0.849,939,13.6,6,55,,0,,,,,,,
"Gambia, The",1978,1,0,0.849,939,20,6,55,,0,,,,,,,
"Gambia, The",1979,1,0,0.849,939,16.2,6,55,,0,,,,,,,
"Gambia, The",1980,1,0,0.849,939,24.4,6,55,,0,,,,,,,
"Gambia, The",1981,1,0,0.849,939,34,4.5,55,,0,,,,,,,
"Gambia, The",1982,1,0,0.849,939,23.8,5,55,,0,,,,,,,
"Gambia, The",1983,1,0,0.849,939,22.1,4.5,55,,0,,,,,,,
"Gambia, The",1984,1,0,0.849,939,35.7,4.5,55,,0,,,,,,,
"Gambia, The",1985,1,0,0.849,939,33.5,4.5,55,,0,,,,,,,
"Gambia, The",1986,1,0,0.849,939,84.8,4.5,55,,0,,,,,,,
"Gambia, The",1987,1,0,0.849,939,51.5,5,55,,0,,,,,,,
"Gambia, The",1988,1,0,0.849,939,39.1,5,55,,0,,,,,,,
"Gambia, The",1989,1,0,0.849,939,43.2,6,55,,0,,,,,,,
"Gambia, The",1990,1,0,0.849,939,35.9,6,55,5.2,0,,,,,,,
"Gambia, The",1991,1,0,0.849,939,31.6,6,55,,0,,,,,,,
"Gambia, The",1992,1,0,0.849,939,33,6.5,55,,0,,,,,,,
"Gambia, The",1993,1,0,0.849,939,24.1,6,55,,0,,,,,,,
"Gambia, The",1994,1,0,0.849,939,20,1.5,55,,0,,,,,,,
"Gambia, The",1995,1,0,0.849,939,13.4,1.5,55,5.7,0,,,,,,,
"Gambia, The",1996,1,0,0.849,939,13.4,1.5,55,,0,,,,,,,
"Gambia, The",1997,1,0,0.849,939,10.3,1.5,55,5.1,0,,,,,,,
Ghana,1990,1,0,14.4,1960,9.8,2.5,72,,0,3.328818,1,0,22.3,11.7,13,152.35
Ghana,1991,1,0,14.4,1960,13.6,2,72,,0,5.281827,1,0,53.8,23.6,25,41.65
Ghana,1992,1,0,14.4,1960,9.8,3,72,,0,3.87942,1,0,55.5,43.9,27,218.51
Ghana,1993,1,0,14.4,1960,11.1,3.5,72,,0,4.967235,1,0,36.9,23.6,46,235.84
Ghana,1994,1,0,14.4,1960,10.8,3.5,72,,0,3.3,1,0,28.9,27,53,137.06
Ghana,1995,1,0,14.4,1960,10.8,4,72,,0,4,1,0,20.9,23.4,54,172.81
Ghana,1996,1,0,14.4,1960,10.5,4.5,72,,0,4.6,1,0,33.6,15.9,30,324.83
Ghana,1997,1,0,14.4,1960,7.4,5,72,,0,4.2,1,0,,,,345.73
Guinea,1990,0,1,5.6,1103,11.3,2.5,68,,1,4.397993,0,1,0.8,86.5,0,47.19
Guinea,1991,0,1,5.6,1103,13.6,2.5,68,,1,2.40479,0,1,1.8,89.4,15,97.57
Guinea,1992,0,1,5.6,1103,14.3,2.5,68,,1,3.034673,1,1,1,142.8,14,66.55
Guinea,1993,0,1,5.6,1103,13.4,2.5,68,,1,4.7405,1,1,0.9,86.2,14,65.45
Guinea,1994,0,1,5.6,1103,11,2.5,68,,1,4.044548,1,1,0.4,55.6,33,54.67
Guinea,1995,0,1,5.6,1103,11.8,2.5,68,,1,4.411901,1,1,0.6,103.7,28,53.7
Guinea,1996,0,1,5.6,1103,7.8,2.5,68,,1,4.603237,1,1,0.7,52.8,24,45.89
Guinea,1997,0,1,5.6,1103,10.3,2.5,68,,1,4.809346,1,1,,,,47.83
Guinea-Bissau,1990,0,0,0.96,793,53.1,2.5,32,,1,6.1,0,0,0.1,9.3,7,1.32
Guinea-Bissau,1991,0,0,0.96,793,49.4,2.5,32,,1,5.1,0,0,0.1,7.1,4,1.65
Guinea-Bissau,1992,0,0,0.96,793,51,2.5,32,,1,1.1,0,0,0,6.1,4,1.43
Guinea-Bissau,1993,0,0,0.96,793,42.2,2.5,32,,1,2.1,0,0,0.1,5.7,4,1.76
Guinea-Bissau,1994,0,0,0.96,793,75.2,4.5,32,,1,3.2,0,0,0,7,6,1.1
Guinea-Bissau,1995,0,0,0.96,793,47.1,4.5,32,,1,4.4,0,0,0,8.3,6,0.88
Guinea-Bissau,1996,0,0,0.96,793,67.5,4.5,32,,1,4.6,0,0,0,11.3,6,7.59
Guinea-Bissau,1997,0,0,0.96,793,49.9,4.5,32,,1,5.4,0,0,,,,2.86
Kenya,1990,1,0,23.5,1404,14.7,2,81,3.8,0,4.192051,1,0,67.3,58.6,95,172.6
Kenya,1991,1,0,23.5,1404,12.1,2,81,,0,1.438347,1,0,66.3,39.5,63,79.43
Kenya,1992,1,0,23.5,1404,11.7,3.5,81,,0,-0.799494,1,0,47.3,40,56,151.11
Kenya,1993,1,0,23.5,1404,17.8,2.5,81,,0,0.3531973,1,0,39.5,20.6,38,101.17
Kenya,1994,1,0,23.5,1404,10.5,2,81,,0,2.632785,1,0,44.3,16.1,29,156.15
Kenya,1995,1,0,23.5,1404,8.5,1.5,81,4.1,0,4.406217,1,0,34.8,13.2,36,125.29
Kenya,1996,1,0,23.5,1404,6.8,1.5,81,,0,4.146839,1,0,43.8,17,11,147.11
Kenya,1997,1,0,23.5,1404,4.6,2,81,4,0,2.098218,1,0,,,,240.26
Lesotho,1990,1,0,1.7,1109,13.5,2.5,1,5.1,0,6.1942,1,0,10.3,16.7,14,
Lesotho,1991,1,0,1.7,1109,12.1,3,1,,0,3.809317,1,0,12.6,10,10,
Lesotho,1992,1,0,1.7,1109,13.5,3,1,,0,4.842037,1,0,10.8,7.1,12,
Lesotho,1993,1,0,1.7,1109,12.7,4.5,1,,0,3.776182,1,0,9.7,3.6,5,
Lesotho,1994,1,0,1.7,1109,10.6,4,1,,0,3.42703,1,0,7.4,1.2,5,
Lesotho,1995,1,0,1.7,1109,9.2,4,1,,0,4.528205,1,0,9.7,3.4,11,
Lesotho,1996,1,0,1.7,1109,8.7,4,1,6.2,0,9.957389,1,0,8,2.9,3,
Lesotho,1997,1,0,1.7,1109,7.4,4,1,,0,8.037605,1,0,,,,
Liberia,1990,1,0,2.5,,,1,76,,0,,0,0,1,1,19,48.84
Liberia,1991,1,0,2.5,,,1.5,76,,0,,0,0,1.6,0.6,42,50.6
Liberia,1992,1,0,2.5,,,1.5,76,,0,,0,0,0.6,0.6,10,33.66
Liberia,1993,1,0,2.5,,,2,76,,0,,0,0,1.9,1.1,12,22.22
Liberia,1994,1,0,2.5,,,1.5,76,,0,,0,0,2.1,1.5,17,50.93
Liberia,1995,1,0,2.5,,,1.5,76,,0,,0,0,1.7,0.4,12,46.09
Liberia,1996,1,0,2.5,,,1.5,76,,0,,0,0,7.2,0.4,13,54.78
Liberia,1997,1,0,2.5,,,3.5,76,,0,,0,0,,,,47.08
Madagascar,1990,0,1,11.3,694,13.6,4,69,3.8,1,3.128905,0,1,1.1,143,,13.13
Madagascar,1991,0,1,11.3,694,17.9,4,69,,1,-6.306352,0,1,1.2,138.1,,29.43
Madagascar,1992,0,1,11.3,694,12.7,4,69,,1,1.180885,0,1,1.2,132,,26.84
Madagascar,1993,0,1,11.3,694,11.3,5,69,,1,2.099923,0,1,1.5,119.2,,28.34
Madagascar,1994,0,1,11.3,694,10.2,5,69,,1,-0.0421013,0,1,1.2,92.3,,20.05
Madagascar,1995,0,1,11.3,694,10,5,69,3.9,1,1.679565,0,1,1.3,91.4,,20.39
Madagascar,1996,0,1,11.3,694,9.1,5,69,,1,2.148923,0,1,1,101.8,,25.35
Madagascar,1997,0,1,11.3,694,24.3,5,69,3.9,1,3.690374,0,1,,,,25.57
Malawi,1990,1,0,8.2,694,27.8,1.5,55,4.7,0,5.692292,1,0,50.7,9.5,21,12.41
Malawi,1991,1,0,8.2,694,24.6,1.5,55,,0,8.730235,1,0,50.5,9.8,37,60.17
Malawi,1992,1,0,8.2,694,32.9,1.5,55,,0,-7.332981,1,0,39.5,15.3,27,15.07
Malawi,1993,1,0,8.2,694,25,2.5,55,,0,9.691839,1,0,21.3,6.9,30,17.38
Malawi,1994,1,0,8.2,694,37.9,5.5,55,,0,-10.24018,1,0,55.9,1.2,28,20.79
Malawi,1995,1,0,8.2,694,31.5,5.5,55,4.1,0,16.72978,1,0,47.7,1.6,58,13.12
Malawi,1996,1,0,8.2,694,23.2,5.5,55,,0,7.316628,1,0,83.6,2.5,32,14.74
Malawi,1997,1,0,8.2,694,14.1,5.5,55,4.6,0,3.791616,1,0,,,,19.47
Mali,1990,0,1,8.2,543,20,2.5,65,5,1,-1.85272,0,1,1.7,129.1,30,9.9
Mali,1991,0,1,8.2,543,19.2,3,65,,1,1.616106,0,1,2.6,92.5,38,20.35
Mali,1992,0,1,8.2,543,15.5,5.5,65,,1,8.333303,0,1,2.3,89.7,30,12.54
Mali,1993,0,1,8.2,543,13.9,5.5,65,,1,-2.13945,0,1,1.7,80.2,37,35.86
Mali,1994,0,1,8.2,543,24.5,5,65,,1,0.9121783,0,1,1.5,90.7,29,21.01
Mali,1995,0,1,8.2,543,22.7,5.5,65,5.1,1,6.209003,0,1,1.7,81.7,31,25.52
Mali,1996,0,1,8.2,543,19.4,6,65,,1,3.218479,0,1,13.9,82.3,5,20.24
Mali,1997,0,1,8.2,543,18.4,5,65,4.7,1,6.761074,0,1,,,,28.82
Mauritania,1990,0,1,1.9,1593,25,1.5,75,,0,-1.771302,0,1,0.1,52.5,10,24.11
Mauritania,1991,0,1,1.9,1593,20.6,1.5,75,,0,2.611419,0,1,0.5,72.9,3,23.54
Mauritania,1992,0,1,1.9,1593,18,1.5,75,,0,1.703203,0,1,0.2,71.9,2,67.1
Mauritania,1993,0,1,1.9,1593,37.5,1.5,75,,0,5.48385,0,1,0.2,108.3,3,21.12
Mauritania,1994,0,1,1.9,1593,27.4,1,75,,0,4.606843,0,1,0.8,66.2,2,15.29
Mauritania,1995,0,1,1.9,1593,22.7,2,75,,0,4.605734,0,1,1.2,51.3,1,47.19
Mauritania,1996,0,1,1.9,1593,26.4,2,75,,0,5.545318,0,1,0.5,45.2,2,16.94
Mauritania,1997,0,1,1.9,1593,23.9,2,75,,0,3.16387,0,1,,,,20.02
Mauritius,1990,0,0,1.1,6022,3.4,6,110,6,0,7.186737,1,0,1.8,32.3,1,77.64
Mauritius,1991,0,0,1.1,6022,2.4,6.5,110,,0,4.257009,1,0,0.8,51.2,1,34.01
Mauritius,1992,0,0,1.1,6022,1.6,6,110,,0,6.205914,1,0,1.5,31.2,-1,35.02
Mauritius,1993,0,0,1.1,6022,0.8,6.5,110,,0,5.445973,1,0,0.7,17.6,-1,39.6
Mauritius,1994,0,0,1.1,6022,0.4,6.5,110,,0,4.058392,1,0,0.4,7.4,-1,43.88
Mauritius,1995,0,0,1.1,6022,0.6,6.5,110,7.9,0,4.70437,1,0,1.8,16.1,-1,51.23
Mauritius,1996,0,0,1.1,6022,0.5,6.5,110,,0,5.676756,1,0,0.8,7.3,-1,71.71
Mauritius,1997,0,0,1.1,6022,1,6.5,110,7.6,0,5.509551,1,0,,,,66.5
Mozambique,1990,0,0,15.3,986,77.7,2,70,,1,1,0,0,43.2,71.8,62,55.33
Mozambique,1991,0,0,15.3,986,83.8,3,70,,1,4.9,0,0,37.6,80.7,60,111.1
Mozambique,1992,0,0,15.3,986,105.2,3,70,,1,-8.1,0,0,40.7,80.1,52,59.11
Mozambique,1993,0,0,15.3,986,95.5,2.5,70,,1,8.7,0,0,47,52.5,61,31.81
Mozambique,1994,0,0,15.3,986,99.7,4,70,,1,7.5,0,0,38.7,33.2,73,62.49
Mozambique,1995,0,0,15.3,986,86,4.5,70,,1,4.3,0,0,35.6,42.9,96,50.01
Mozambique,1996,0,0,15.3,986,59.8,4.5,70,,1,7.1,0,0,35.4,20.7,45,32.63
Mozambique,1997,0,0,15.3,986,37.4,4.5,70,,1,11.06483,0,0,,,,39.87
Namibia,1990,1,0,1.7,4027,4.9,5.5,59,5.2,0,2.034336,1,0,2.7,1.2,0,
Namibia,1991,1,0,1.7,4027,6.9,5.5,59,,0,8.19726,1,0,3.9,4,14,
Namibia,1992,1,0,1.7,4027,4.9,6,59,,0,7.129771,1,0,5.5,3.7,3,
Namibia,1993,1,0,1.7,4027,5.6,5.5,59,,0,-1.710132,1,0,5.4,6.2,9,
