firm_id,num_dir,num_dir_gov,profit,employee,age,industry,gov_rate
73,7,5,0.0,74,65,Health,0.7142857142857143
74,9,7,8.49,391,9,Retail,0.7777777777777778
75,6,5,4.27,455,61,Retail,0.8333333333333334
76,7,5,7.95,89,12,Retail,0.7142857142857143
77,6,5,7.66,367,8,Tech,0.8333333333333334
78,8,6,0.0,375,81,Manufacturing,0.75
79,5,5,0.0,74,77,Manufacturing,1.0
80,7,6,0.0,272,49,Health,0.8571428571428571
81,11,5,13.28,490,91,Health,0.45454545454545453
82,10,8,3.45,441,34,Tech,0.8
83,9,8,0.0,417,45,Manufacturing,0.8888888888888888
84,11,6,0.0,391,88,Health,0.5454545454545454
85,9,8,0.0,281,100,Health,0.8888888888888888
86,6,6,0.0,193,21,Tech,1.0
87,8,7,5.71,152,19,Finance,0.875
88,6,5,5.24,362,90,Finance,0.8333333333333334
89,6,6,7.31,309,77,Manufacturing,1.0
90,11,5,3.29,500,92,Tech,0.45454545454545453
91,9,8,0.0,351,30,Tech,0.8888888888888888
92,9,6,8.98,83,7,Retail,0.6666666666666666
93,9,6,7.26,198,38,Finance,0.6666666666666666
94,11,5,7.37,256,27,Finance,0.45454545454545453
95,7,5,7.77,68,86,Manufacturing,0.7142857142857143
96,9,5,4.58,297,23,Finance,0.5555555555555556
97,6,6,0.75,109,13,Health,1.0
98,11,8,1.04,201,33,Manufacturing,0.7272727272727273
99,6,5,0.0,87,97,Retail,0.8333333333333334
100,5,5,0.0,180,17,Retail,1.0
101,8,6,0.0,152,22,Retail,0.75
102,10,7,4.9,351,76,Health,0.7
103,7,5,0.0,471,23,Finance,0.7142857142857143
104,7,6,0.88,484,18,Manufacturing,0.8571428571428571
105,8,8,8.83,490,76,Health,1.0
106,6,5,0.0,164,35,Manufacturing,0.8333333333333334
107,11,6,2.17,439,84,Tech,0.5454545454545454
108,11,5,10.8,54,3,Health,0.45454545454545453
109,8,6,0.0,250,13,Tech,0.75
110,5,5,0.0,450,58,Tech,1.0
111,7,6,0.0,392,53,Tech,0.8571428571428571
112,10,7,0.0,485,89,Finance,0.7
113,9,6,12.41,237,82,Retail,0.6666666666666666
114,9,6,8.26,98,63,Health,0.6666666666666666
115,9,6,6.87,74,27,Health,0.6666666666666666
116,7,7,8.32,374,60,Finance,1.0
117,5,5,5.31,187,78,Health,1.0
118,5,5,0.0,169,9,Finance,1.0
119,8,8,8.53,404,81,Manufacturing,1.0
120,5,5,0.58,161,16,Finance,1.0
121,6,5,8.89,142,85,Finance,0.8333333333333334
122,11,6,14.83,92,52,Tech,0.5454545454545454
123,8,8,0.0,498,43,Retail,1.0
124,5,5,0.0,468,13,Tech,1.0
125,9,7,0.0,489,1,Finance,0.7777777777777778
126,7,7,0.0,287,55,Health,1.0
127,8,7,7.38,242,23,Tech,0.875
128,7,5,11.53,142,41,Finance,0.7142857142857143
129,11,6,0.0,457,18,Tech,0.5454545454545454
130,5,5,0.91,99,38,Finance,1.0
131,6,6,0.0,354,40,Health,1.0
132,9,8,0.0,358,97,Manufacturing,0.8888888888888888
133,5,5,0.0,396,41,Finance,1.0
134,7,7,0.0,439,80,Health,1.0
135,8,7,9.56,211,65,Retail,0.875
136,11,6,1.87,130,96,Finance,0.5454545454545454
137,8,7,1.24,412,12,Manufacturing,0.875
138,10,8,6.01,229,16,Health,0.8
139,8,7,0.0,423,5,Retail,0.875
140,11,5,12.97,454,62,Manufacturing,0.45454545454545453
141,7,5,12.09,305,73,Health,0.7142857142857143
142,11,6,0.0,101,27,Finance,0.5454545454545454
143,7,5,2.31,298,78,Retail,0.7142857142857143
144,10,7,0.46,181,38,Retail,0.7
145,5,5,0.0,182,81,Health,1.0
146,6,6,0.0,188,52,Health,1.0
147,10,7,4.91,453,53,Retail,0.7
148,5,5,0.0,434,25,Finance,1.0
149,8,7,0.0,439,39,Health,0.875
150,8,5,0.0,309,16,Retail,0.625
151,9,6,12.07,396,40,Tech,0.6666666666666666
152,9,7,0.0,328,7,Finance,0.7777777777777778
153,7,6,0.0,75,22,Finance,0.8571428571428571
154,8,6,1.68,438,50,Retail,0.75
155,5,5,8.63,345,83,Finance,1.0
156,11,8,0.0,341,29,Finance,0.7272727272727273
157,6,5,8.06,344,2,Tech,0.8333333333333334
158,6,6,6.48,202,63,Retail,1.0
159,5,5,0.0,475,35,Tech,1.0
160,8,7,4.49,492,10,Manufacturing,0.875
161,6,6,0.0,94,33,Finance,1.0
162,6,5,4.86,426,36,Finance,0.8333333333333334
163,8,6,5.72,262,80,Manufacturing,0.75
164,11,6,5.01,395,8,Health,0.5454545454545454
165,5,5,0.0,427,66,Finance,1.0
166,9,6,10.37,204,77,Retail,0.6666666666666666
167,9,5,0.95,261,32,Health,0.5555555555555556
168,7,6,0.0,387,35,Tech,0.8571428571428571
169,6,5,0.0,457,38,Tech,0.8333333333333334
170,5,5,0.97,248,70,Manufacturing,1.0
171,6,6,3.73,289,49,Manufacturing,1.0
172,6,5,0.0,385,97,Health,0.8333333333333334
173,5,5,0.61,117,75,Manufacturing,1.0
174,6,6,0.0,360,48,Retail,1.0
175,6,5,5.49,203,32,Manufacturing,0.8333333333333334
176,7,6,0.0,196,58,Tech,0.8571428571428571
177,8,6,6.74,171,65,Finance,0.75
178,9,8,0.0,342,87,Health,0.8888888888888888
179,10,7,13.79,252,94,Finance,0.7
180,5,5,0.0,494,99,Health,1.0
181,10,8,0.0,294,25,Retail,0.8
182,7,6,0.0,286,39,Health,0.8571428571428571
183,9,8,10.16,355,46,Manufacturing,0.8888888888888888
184,11,8,9.36,197,81,Health,0.7272727272727273
185,5,5,0.0,320,91,Tech,1.0
186,10,7,5.9,288,45,Manufacturing,0.7
187,10,6,11.32,220,84,Health,0.6
188,5,5,2.02,227,46,Health,1.0
189,5,5,0.0,256,87,Tech,1.0
190,9,6,0.0,404,98,Manufacturing,0.6666666666666666
191,8,7,0.0,482,52,Health,0.875
192,7,6,8.11,114,53,Manufacturing,0.8571428571428571
193,8,8,7.79,137,24,Health,1.0
194,11,5,7.81,259,4,Health,0.45454545454545453
195,11,5,4.66,470,21,Manufacturing,0.45454545454545453
196,6,6,0.0,341,51,Retail,1.0
197,8,7,4.39,166,69,Finance,0.875
198,5,5,7.38,86,45,Finance,1.0
199,7,6,10.19,170,30,Retail,0.8571428571428571
200,5,5,7.69,174,75,Tech,1.0
201,9,5,5.7,474,75,Health,0.5555555555555556
202,6,6,0.0,397,3,Retail,1.0
203,5,5,0.0,221,5,Finance,1.0
204,7,6,9.79,109,22,Tech,0.8571428571428571
205,10,5,6.26,124,56,Finance,0.5
206,9,5,0.0,357,63,Retail,0.5555555555555556
207,7,7,0.0,318,81,Health,1.0
208,9,6,6.61,88,38,Tech,0.6666666666666666
209,6,6,0.0,341,4,Manufacturing,1.0
210,8,5,0.0,354,5,Health,0.625
211,5,5,0.0,222,16,Manufacturing,1.0
212,9,6,7.26,472,88,Tech,0.6666666666666666
213,8,5,5.86,234,19,Retail,0.625
214,8,8,0.0,118,53,Manufacturing,1.0
215,6,5,5.01,261,9,Tech,0.8333333333333334
216,6,6,0.0,394,93,Finance,1.0
217,7,7,0.0,330,98,Tech,1.0
218,6,5,7.25,364,26,Finance,0.8333333333333334
219,9,6,7.18,301,99,Tech,0.6666666666666666
220,11,8,9.48,183,58,Tech,0.7272727272727273
221,5,5,3.19,371,77,Manufacturing,1.0
222,6,5,1.58,374,9,Health,0.8333333333333334
223,10,6,0.0,470,93,Tech,0.6
224,7,5,0.16,52,99,Tech,0.7142857142857143
225,8,7,0.0,347,29,Retail,0.875
226,6,5,0.0,132,7,Tech,0.8333333333333334
227,6,5,12.59,346,72,Manufacturing,0.8333333333333334
228,8,6,1.36,395,71,Manufacturing,0.75
229,5,5,8.12,230,58,Retail,1.0
230,6,5,6.05,423,2,Retail,0.8333333333333334
231,7,7,6.27,259,73,Manufacturing,1.0
232,11,5,5.9,342,40,Manufacturing,0.45454545454545453
233,8,7,2.73,84,17,Finance,0.875
234,5,5,1.07,156,67,Finance,1.0
235,10,5,0.0,294,71,Finance,0.5
236,8,8,3.82,391,80,Retail,1.0
237,11,7,0.0,271,27,Finance,0.6363636363636364
238,9,5,0.0,124,34,Manufacturing,0.5555555555555556
239,10,7,5.11,184,47,Finance,0.7
240,11,6,0.0,91,48,Finance,0.5454545454545454
241,5,5,10.05,371,35,Retail,1.0
242,7,6,10.05,179,75,Retail,0.8571428571428571
243,5,5,8.25,61,35,Retail,1.0
244,5,5,0.0,412,80,Manufacturing,1.0
245,9,6,0.0,67,62,Finance,0.6666666666666666
246,9,8,7.43,239,75,Health,0.8888888888888888
247,6,6,0.0,296,12,Health,1.0
248,11,6,14.09,420,38,Finance,0.5454545454545454
249,7,5,13.33,98,29,Health,0.7142857142857143
250,5,5,6.57,471,3,Health,1.0
251,11,6,0.0,404,15,Retail,0.5454545454545454
252,11,6,2.87,365,5,Finance,0.5454545454545454
253,10,8,8.39,269,3,Tech,0.8
254,9,6,0.0,367,77,Retail,0.6666666666666666
255,9,5,0.0,95,74,Health,0.5555555555555556
256,6,6,0.95,324,60,Tech,1.0
257,10,7,11.12,183,37,Health,0.7
258,10,7,4.72,142,36,Health,0.7
259,11,8,5.03,334,54,Retail,0.7272727272727273
260,9,8,0.0,352,3,Manufacturing,0.8888888888888888
261,9,5,7.4,175,68,Health,0.5555555555555556
262,10,7,11.66,372,48,Finance,0.7
263,5,5,0.0,438,42,Finance,1.0
264,5,5,0.36,68,77,Retail,1.0
265,8,7,9.4,86,40,Manufacturing,0.875
266,11,6,10.03,99,4,Retail,0.5454545454545454
267,6,5,4.87,374,14,Retail,0.8333333333333334
268,6,6,4.13,477,18,Manufacturing,1.0
269,10,7,0.65,484,9,Health,0.7
270,9,6,0.66,264,22,Tech,0.6666666666666666
271,7,7,6.89,373,19,Tech,1.0
272,8,8,6.99,409,75,Health,1.0
273,11,6,11.97,455,77,Health,0.5454545454545454
274,9,6,13.01,474,35,Finance,0.6666666666666666
275,7,5,3.49,325,90,Finance,0.7142857142857143
276,10,7,2.17,372,93,Finance,0.7
277,8,5,11.12,134,94,Finance,0.625
278,11,8,6.42,353,45,Manufacturing,0.7272727272727273
279,5,5,3.6,290,91,Finance,1.0
280,8,6,7.94,385,47,Retail,0.75
281,11,8,10.82,333,92,Finance,0.7272727272727273
282,10,7,0.22,451,67,Manufacturing,0.7
283,9,6,1.04,100,58,Retail,0.6666666666666666
284,9,6,0.0,196,37,Health,0.6666666666666666
285,8,7,4.52,425,92,Tech,0.875
286,9,5,0.0,90,27,Manufacturing,0.5555555555555556
287,8,8,0.0,250,57,Health,1.0
288,10,6,5.79,407,28,Finance,0.6
289,5,5,0.0,91,80,Retail,1.0
290,6,6,2.21,140,1,Tech,1.0
291,8,6,0.0,65,49,Manufacturing,0.75
292,9,7,0.0,279,9,Retail,0.7777777777777778
293,8,5,9.35,378,94,Manufacturing,0.625
294,11,6,1.1,423,89,Retail,0.5454545454545454
295,10,5,0.0,275,20,Retail,0.5
296,8,8,0.0,184,18,Tech,1.0
297,9,5,9.47,420,68,Finance,0.5555555555555556
298,5,5,0.0,453,28,Finance,1.0
299,11,5,7.93,179,38,Tech,0.45454545454545453
300,11,6,0.0,420,27,Retail,0.5454545454545454
301,7,6,0.0,271,40,Tech,0.8571428571428571
302,8,6,4.65,367,23,Tech,0.75
303,9,5,5.77,319,19,Finance,0.5555555555555556
304,6,5,5.45,492,71,Tech,0.8333333333333334
305,11,6,8.41,191,59,Manufacturing,0.5454545454545454
306,7,5,13.23,142,74,Manufacturing,0.7142857142857143
307,8,6,1.73,479,8,Health,0.75
308,6,5,0.0,252,91,Manufacturing,0.8333333333333334
309,5,5,6.08,82,68,Retail,1.0
310,10,6,0.0,330,22,Health,0.6
311,10,8,0.0,397,36,Tech,0.8
312,9,5,0.0,496,45,Retail,0.5555555555555556
313,9,8,0.0,420,57,Manufacturing,0.8888888888888888
314,7,7,8.3,393,66,Finance,1.0
315,8,5,10.93,209,18,Finance,0.625
316,6,6,2.55,411,100,Retail,1.0
317,5,5,0.0,89,59,Manufacturing,1.0
318,8,8,0.0,184,71,Retail,1.0
319,5,5,0.0,476,99,Manufacturing,1.0
320,9,8,0.0,119,30,Tech,0.8888888888888888
321,6,5,1.95,79,88,Retail,0.8333333333333334
322,8,5,8.62,209,97,Tech,0.625
323,6,5,5.13,402,39,Manufacturing,0.8333333333333334
324,7,5,0.0,64,69,Tech,0.7142857142857143
325,8,7,9.34,479,38,Tech,0.875
326,11,7,6.43,116,17,Retail,0.6363636363636364
327,7,7,1.44,153,52,Retail,1.0
328,8,8,0.67,202,45,Finance,1.0
329,9,6,1.82,84,100,Health,0.6666666666666666
330,9,8,0.0,254,43,Tech,0.8888888888888888
331,11,8,0.53,59,80,Manufacturing,0.7272727272727273
332,10,7,7.85,217,73,Tech,0.7
333,11,5,0.0,465,27,Health,0.45454545454545453
334,8,7,0.0,156,80,Manufacturing,0.875
335,10,7,0.0,331,4,Manufacturing,0.7
336,8,5,0.0,174,58,Retail,0.625
337,10,7,10.58,243,21,Manufacturing,0.7
338,9,5,6.98,370,14,Retail,0.5555555555555556
339,10,5,5.24,433,90,Health,0.5
340,10,5,0.0,365,47,Tech,0.5
341,9,5,3.26,375,99,Tech,0.5555555555555556
342,5,5,0.0,484,76,Health,1.0
343,11,6,0.0,120,68,Retail,0.5454545454545454
344,8,7,0.0,432,6,Finance,0.875
345,6,5,0.0,224,7,Health,0.8333333333333334
346,7,6,5.18,379,26,Health,0.8571428571428571
347,8,8,3.78,279,58,Retail,1.0
348,10,6,0.0,85,62,Manufacturing,0.6
349,7,6,0.0,299,39,Health,0.8571428571428571
350,5,5,3.85,450,83,Retail,1.0
351,5,5,0.45,129,49,Manufacturing,1.0
352,7,5,11.08,160,77,Finance,0.7142857142857143
353,9,7,7.41,267,39,Retail,0.7777777777777778
354,11,7,0.0,371,67,Manufacturing,0.6363636363636364
355,5,5,0.0,468,68,Manufacturing,1.0
356,9,8,5.0,443,66,Tech,0.8888888888888888
357,5,5,0.0,406,88,Manufacturing,1.0
358,10,6,5.74,337,1,Finance,0.6
359,8,8,8.45,123,43,Retail,1.0
360,9,6,6.41,341,54,Tech,0.6666666666666666
361,5,5,0.0,146,78,Retail,1.0
362,10,6,8.4,452,26,Tech,0.6
363,8,7,0.91,327,71,Manufacturing,0.875
364,6,6,0.0,241,97,Manufacturing,1.0
365,5,5,9.2,464,65,Retail,1.0
366,10,8,0.0,291,58,Manufacturing,0.8
367,9,6,13.18,388,26,Health,0.6666666666666666
368,8,7,10.24,107,34,Manufacturing,0.875
369,7,7,0.0,289,39,Manufacturing,1.0
370,9,8,0.0,246,70,Tech,0.8888888888888888
371,10,6,0.0,411,24,Health,0.6
372,8,5,0.0,438,100,Health,0.625
373,8,5,0.0,99,28,Manufacturing,0.625
374,9,7,7.36,229,92,Tech,0.7777777777777778
375,5,5,0.0,206,28,Tech,1.0
376,5,5,0.0,337,80,Tech,1.0
377,11,7,11.55,116,29,Health,0.6363636363636364
378,10,6,0.0,55,47,Finance,0.6
379,6,5,7.21,458,31,Health,0.8333333333333334
380,6,5,0.0,357,70,Health,0.8333333333333334
381,6,5,0.0,192,58,Tech,0.8333333333333334
382,8,6,8.12,255,28,Finance,0.75
383,8,5,6.89,116,71,Finance,0.625
384,9,5,11.11,321,10,Retail,0.5555555555555556
385,7,6,8.12,468,11,Health,0.8571428571428571
386,5,5,5.54,241,88,Tech,1.0
387,10,6,0.0,406,83,Manufacturing,0.6
388,6,5,0.0,321,88,Finance,0.8333333333333334
389,7,7,6.57,318,52,Tech,1.0
390,11,5,12.45,316,59,Tech,0.45454545454545453
391,6,5,11.89,294,52,Finance,0.8333333333333334
392,6,6,0.0,134,50,Finance,1.0
393,11,8,0.21,260,16,Manufacturing,0.7272727272727273
394,8,6,8.59,269,72,Retail,0.75
395,10,5,0.0,373,50,Retail,0.5
396,10,8,10.32,493,73,Manufacturing,0.8
397,11,8,10.14,128,43,Health,0.7272727272727273
398,11,6,1.97,314,98,Manufacturing,0.5454545454545454
399,7,7,5.4,65,96,Retail,1.0
400,5,5,4.89,494,66,Retail,1.0
401,6,5,0.0,246,63,Health,0.8333333333333334
402,7,5,12.48,276,13,Manufacturing,0.7142857142857143
403,7,5,2.5,475,56,Finance,0.7142857142857143
404,9,5,10.82,107,29,Tech,0.5555555555555556
405,10,6,0.33,207,30,Manufacturing,0.6
406,6,6,7.46,95,18,Health,1.0
407,6,6,0.0,394,69,Retail,1.0
408,6,6,0.0,187,33,Health,1.0
409,5,5,6.98,285,28,Manufacturing,1.0
410,11,7,0.0,147,96,Tech,0.6363636363636364
411,6,6,0.0,298,4,Retail,1.0
412,8,8,8.2,320,92,Tech,1.0
413,6,5,11.57,396,40,Tech,0.8333333333333334
414,10,7,3.84,375,64,Retail,0.7
415,9,5,7.33,289,41,Retail,0.5555555555555556
416,9,7,2.01,86,44,Health,0.7777777777777778
417,6,6,0.0,315,53,Tech,1.0
418,9,5,1.47,244,22,Finance,0.5555555555555556
419,10,6,6.93,347,93,Tech,0.6
420,5,5,4.85,138,89,Tech,1.0
421,7,5,8.48,264,97,Retail,0.7142857142857143
422,9,8,6.16,215,89,Health,0.8888888888888888
423,11,7,0.0,103,66,Tech,0.6363636363636364
424,6,6,0.0,393,29,Finance,1.0
425,10,7,0.0,122,98,Retail,0.7
426,7,7,0.71,247,85,Finance,1.0
427,7,6,0.0,208,58,Manufacturing,0.8571428571428571
428,8,8,7.51,297,15,Tech,1.0
429,8,5,0.71,333,14,Manufacturing,0.625
430,8,6,0.0,132,29,Tech,0.75
431,7,6,0.0,72,23,Tech,0.8571428571428571
432,8,5,8.33,122,81,Manufacturing,0.625
433,9,5,5.61,464,14,Retail,0.5555555555555556
434,8,6,0.0,457,28,Manufacturing,0.75
435,6,5,0.0,218,87,Finance,0.8333333333333334
436,9,6,7.0,196,81,Retail,0.6666666666666666
437,8,8,0.0,289,27,Manufacturing,1.0
438,11,7,8.78,391,94,Health,0.6363636363636364
439,5,5,3.67,436,48,Health,1.0
440,7,5,0.0,265,56,Manufacturing,0.7142857142857143
441,11,6,0.0,312,50,Health,0.5454545454545454
442,5,5,9.18,421,88,Finance,1.0
443,11,5,2.53,434,98,Health,0.45454545454545453
444,5,5,0.0,478,40,Finance,1.0
445,10,5,11.22,337,8,Tech,0.5
446,8,5,11.85,417,73,Finance,0.625
447,10,6,14.29,241,35,Tech,0.6
448,8,6,5.78,474,25,Finance,0.75
449,7,5,0.02,169,47,Tech,0.7142857142857143
450,8,5,0.0,86,76,Tech,0.625
451,5,5,5.73,117,79,Tech,1.0
452,11,5,9.32,366,35,Health,0.45454545454545453
453,11,5,4.29,187,49,Retail,0.45454545454545453
454,5,5,7.12,381,36,Tech,1.0
455,7,6,0.0,91,12,Retail,0.8571428571428571
456,11,8,0.8,433,76,Tech,0.7272727272727273
457,9,5,0.0,102,20,Tech,0.5555555555555556
458,11,7,2.18,415,52,Manufacturing,0.6363636363636364
459,7,6,0.0,280,71,Manufacturing,0.8571428571428571
460,9,7,0.0,186,23,Finance,0.7777777777777778
461,9,8,0.0,138,31,Tech,0.8888888888888888
462,8,5,6.1,454,59,Finance,0.625
463,10,8,8.66,378,77,Health,0.8
464,8,6,3.85,453,10,Finance,0.75
465,5,5,11.08,83,32,Tech,1.0
466,9,8,0.0,313,1,Manufacturing,0.8888888888888888
467,5,5,0.0,444,42,Finance,1.0
468,7,5,10.6,112,8,Tech,0.7142857142857143
469,10,8,0.0,415,90,Manufacturing,0.8
470,8,8,7.34,275,11,Tech,1.0
471,8,7,0.0,100,33,Retail,0.875
472,6,5,11.91,186,36,Manufacturing,0.8333333333333334
473,6,6,0.0,170,32,Health,1.0
474,8,8,6.42,416,33,Finance,1.0
475,11,8,3.23,428,49,Manufacturing,0.7272727272727273
476,10,8,13.56,72,66,Tech,0.8
477,8,6,0.0,482,22,Finance,0.75
478,8,6,3.52,192,84,Finance,0.75
479,9,8,11.45,142,12,Retail,0.8888888888888888
480,11,6,4.64,482,73,Finance,0.5454545454545454
481,7,5,3.74,464,13,Manufacturing,0.7142857142857143
482,6,5,4.66,78,63,Manufacturing,0.8333333333333334
483,11,6,5.2,492,9,Retail,0.5454545454545454
484,5,5,2.28,103,63,Manufacturing,1.0
485,7,5,4.3,209,58,Manufacturing,0.7142857142857143
486,9,5,12.17,446,18,Finance,0.5555555555555556
487,7,6,0.0,255,40,Manufacturing,0.8571428571428571
488,11,7,0.88,73,54,Retail,0.6363636363636364
489,11,6,15.77,419,78,Health,0.5454545454545454
490,6,6,7.65,284,86,Manufacturing,1.0
491,7,6,0.84,73,77,Finance,0.8571428571428571
492,8,7,2.14,120,44,Manufacturing,0.875
493,9,6,0.36,387,75,Tech,0.6666666666666666
494,11,6,0.0,299,10,Retail,0.5454545454545454
495,7,5,2.35,242,68,Finance,0.7142857142857143
496,11,7,0.0,474,75,Manufacturing,0.6363636363636364
497,7,7,1.08,159,57,Finance,1.0
498,8,5,0.0,129,53,Health,0.625
499,8,5,12.63,464,92,Manufacturing,0.625
500,11,7,12.82,475,16,Finance,0.6363636363636364
501,6,5,5.08,133,59,Retail,0.8333333333333334
502,6,6,1.56,125,45,Tech,1.0
503,5,5,0.0,379,64,Manufacturing,1.0
504,11,8,9.22,139,57,Finance,0.7272727272727273
505,9,5,9.36,387,68,Finance,0.5555555555555556
506,8,7,0.0,132,85,Health,0.875
507,8,7,8.75,336,87,Tech,0.875
508,6,5,7.89,374,60,Finance,0.8333333333333334
509,10,8,12.18,139,38,Health,0.8
510,11,5,10.16,240,18,Tech,0.45454545454545453
511,9,5,6.18,256,76,Manufacturing,0.5555555555555556
512,9,8,0.0,483,26,Tech,0.8888888888888888
513,5,5,7.55,393,89,Finance,1.0
514,6,5,9.67,64,17,Health,0.8333333333333334
515,9,8,0.0,433,9,Health,0.8888888888888888
516,5,5,0.0,94,81,Health,1.0
517,10,7,0.0,100,73,Retail,0.7
518,10,6,9.32,270,98,Health,0.6
519,7,7,10.28,493,73,Finance,1.0
520,5,5,0.0,111,20,Finance,1.0
521,5,5,1.25,54,74,Health,1.0
522,6,6,0.0,203,8,Finance,1.0
523,10,5,12.31,457,32,Tech,0.5
524,5,5,6.26,262,62,Manufacturing,1.0
525,8,7,7.99,310,44,Manufacturing,0.875
526,11,5,3.92,86,23,Manufacturing,0.45454545454545453
527,9,8,0.0,279,39,Finance,0.8888888888888888
528,6,5,0.0,52,29,Tech,0.8333333333333334
529,6,6,0.0,463,33,Tech,1.0
530,5,5,7.11,274,79,Retail,1.0
531,9,8,5.13,493,4,Manufacturing,0.8888888888888888
532,9,6,11.21,56,23,Retail,0.6666666666666666
533,8,7,10.58,58,65,Retail,0.875
534,10,8,3.57,201,47,Tech,0.8
535,9,7,4.85,428,54,Manufacturing,0.7777777777777778
536,8,5,12.15,169,21,Manufacturing,0.625
537,7,6,7.9,109,16,Manufacturing,0.8571428571428571
538,11,5,1.79,426,54,Retail,0.45454545454545453
539,7,6,0.05,425,6,Manufacturing,0.8571428571428571
540,8,5,0.0,249,59,Tech,0.625
541,7,5,12.08,116,6,Retail,0.7142857142857143
542,7,7,0.0,146,23,Health,1.0
543,10,5,0.34,241,48,Health,0.5
544,7,7,3.65,483,41,Retail,1.0
545,10,6,6.87,498,94,Retail,0.6
546,5,5,1.09,53,76,Health,1.0
547,8,5,0.0,357,10,Health,0.625
548,9,7,7.38,61,89,Tech,0.7777777777777778
549,5,5,0.12,408,71,Finance,1.0
550,7,7,5.73,265,39,Retail,1.0
551,6,6,0.36,184,42,Retail,1.0
552,6,5,8.29,107,96,Tech,0.8333333333333334
553,9,7,2.69,335,61,Health,0.7777777777777778
554,11,6,6.09,125,88,Tech,0.5454545454545454
555,8,8,6.02,183,64,Health,1.0
556,5,5,0.0,370,51,Health,1.0
557,7,5,0.0,399,68,Tech,0.7142857142857143
558,8,5,0.0,117,92,Finance,0.625
559,11,5,10.11,474,6,Manufacturing,0.45454545454545453
560,5,5,3.66,207,77,Tech,1.0
561,9,8,4.66,319,91,Health,0.8888888888888888
